p1,,p5,,p9,
X,Y,X,Y,X,Y
0.013241758241758245,0.6782783882783883,0.02167032967032967,0.8671355311355312,0.04583516483516484,0.9635677655677656
0.04862637362637362,0.47417582417582416,0.05320879120879121,0.6707252747252748,0.11251648351648355,0.9387765567765568
0.07982417582417581,0.33749450549450555,0.08825274725274726,0.5263516483516484,0.17936263736263733,0.8850842490842492
0.1125164835164835,0.2721098901098902,0.15496703296703293,0.4957802197802199,0.24608791208791206,0.8525860805860807
0.18132967032967026,0.20686446886446885,0.21991208791208797,0.4420805860805861,0.3125054945054945,0.8740366300366301
0.24643956043956042,0.12426373626373632,0.28848351648351644,0.4192234432234433,0.3778351648351649,0.7529010989010989
0.3166923076923077,0.139948717948718,0.3545604395604396,0.5004029304029305,0.446945054945055,0.6356336996336998
0.3871428571428571,0.12095238095238114,0.41940659340659336,0.4640439560439561,0.5146153846153847,0.4374358974358975
0.4538461538461539,0.09230769230769231,0.48818681318681323,0.4045787545787547,0.5799120879120879,0.3220805860805862
0.4750659340659341,0.03843956043956043,0.5553406593406593,0.29693772893772896,0.629978021978022,0.21052014652014672
,,0.6002967032967031,0.08131135531135547,0.6898241758241759,0.05082783882783892
