p077h,,p165h,,p529h,,1p462h,,1p896h,
X,Y,X,Y,X,Y,X,Y,X,Y
7.57594936708861,0.035989717223651,7.40506329113924,6.67609254498715,6.36835443037975,6.6401028277635,4.13544303797468,6.6401028277635,4.13544303797468,6.67609254498715
7.65569620253165,0.980719794344474,7.34810126582279,6.37917737789203,6.27721518987342,5.92030848329049,4.02151898734177,6.03727506426735,3.93037974683544,6.39717223650386
7.7126582278481,2.07840616966581,7.29113924050633,6.02827763496144,6.0493670886076,5.33547557840617,3.91898734177215,5.72236503856041,3.83924050632911,6.23521850899743
7.81518987341772,3.3560411311054,7.23417721518987,5.16452442159383,5.69620253164557,4.90359897172237,3.8620253164557,5.62339331619537,3.81645569620253,5.74935732647815
7.88354430379747,3.96786632390746,7.18860759493671,4.39974293059126,5.61645569620253,4.73264781491003,3.78227848101266,5.03856041131106,3.75949367088608,5.37146529562982
7.95189873417722,4.66066838046273,7.13164556962025,3.59897172236504,5.50253164556962,4.54370179948586,3.67974683544304,4.51670951156812,3.66835443037975,4.66066838046273
7.98607594936709,5.65038560411311,7.01772151898734,2.5012853470437,5.4,4.03984575835476,3.66835443037975,4.09383033419023,3.6,3.84190231362468
8.07721518987342,6.55012853470437,6.9379746835443,1.75449871465296,5.29746835443038,3.3560411311054,3.61139240506329,3.41002570694087,3.52025316455696,3.67095115681234
,,6.77848101265823,1.26863753213368,5.20632911392405,3.01413881748072,3.55443037974684,2.95115681233933,3.45189873417722,3.49100257069409
,,6.57341772151899,0.845758354755784,5.10379746835443,2.91516709511568,3.48607594936709,2.56426735218509,3.37215189873418,3.33804627249357
,,6.48227848101266,0.701799485861184,4.98987341772152,2.26735218508998,3.41772151898734,2.01542416452442,3.26962025316456,2.98714652956298
,,6.28860759493671,0.422879177377893,4.89873417721519,1.86246786632391,3.37215189873418,1.4305912596401,3.20126582278481,2.55526992287918
,,6.20886075949367,0.161953727506427,4.68227848101266,1.42159383033419,3.30379746835443,1.03470437017995,3.12151898734177,2.19537275064267
,,6.20886075949367,0.053984575835475,4.46582278481013,1.06169665809769,3.25822784810127,0.809768637532134,3.05316455696203,1.84447300771208
,,,,4.29493670886076,0.683804627249357,3.17848101265823,0.494858611825193,2.99620253164557,1.55655526992288
,,,,4.15822784810127,0.152956298200515,3.0873417721519,0.377892030848329,2.89367088607595,1.43958868894602
,,,,4.15822784810127,0.035989717223651,3.09873417721519,0.062982005141389,2.80253164556962,1.24164524421594
,,,,,,,,2.68860759493671,1.15167095115681
,,,,,,,,2.62025316455696,0.845758354755784
,,,,,,,,2.50632911392405,0.746786632390746
,,,,,,,,2.40379746835443,0.566838046272494
,,,,,,,,2.25569620253165,0.332904884318766
,,,,,,,,2.23291139240506,0.071979434447301
